ticker_id,name,trading_floor,is_vn30,is_vn100,is_hnx30,industry,subindustry
YTC,XNK Y tế TP.HCM,UPCOM,False,False,False,Y tế,Thiết bị và Dịch vụ Y tế
YEG,Tập đoàn Yeah1,HSX,False,False,False,Truyền thông,Truyền thông
YBM,Khoáng sản CN Yên Bái,HSX,False,False,False,Tài nguyên Cơ bản,Khai khoáng
YBC,Xi măng và Khoáng sản Yên Bái,UPCOM,False,False,False,Xây dựng và Vật liệu,Xây dựng và Vật liệu
XPH,Xà phòng Hà Nội,UPCOM,False,False,False,Hàng cá nhân & Gia dụng,Hàng cá nhân
XMP,Thủy điện Xuân Minh,UPCOM,False,False,False,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện
XMD,Xuân Mai - Đạo Tú,UPCOM,False,False,False,Xây dựng và Vật liệu,Xây dựng và Vật liệu
XMC,Bê tông Xuân Mai,UPCOM,False,False,False,Xây dựng và Vật liệu,Xây dựng và Vật liệu
XLV,XL và DV Sông Đà,UPCOM,False,False,False,Xây dựng và Vật liệu,Xây dựng và Vật liệu
XHC,Nội thất Xuân Hòa,UPCOM,False,False,False,Hàng cá nhân & Gia dụng,Hàng gia dụng
XDH,Đầu tư XD Dân dụng Hà Nội,UPCOM,False,False,False,Bất động sản,Bất động sản
XDC,Xây dựng Công trình Tân Cảng,DELISTED,False,False,False,,
X77,Thành An 77,UPCOM,False,False,False,Xây dựng và Vật liệu,Xây dựng và Vật liệu
X26,Công ty 26,UPCOM,False,False,False,Hàng cá nhân & Gia dụng,Hàng cá nhân
X20,May mặc X20,HNX,False,False,False,Hàng cá nhân & Gia dụng,Hàng cá nhân
WTC,Vận tải thủy Vinacomin,UPCOM,False,False,False,Hàng & Dịch vụ Công nghiệp,Vận tải
WSS,Chứng khoán Phố Wall,HNX,False,False,False,Dịch vụ tài chính,Dịch vụ tài chính
WSB,Bia Sài Gòn - Miền Tây,UPCOM,False,False,False,Thực phẩm và đồ uống,Bia và đồ uống
WCS,Bến xe Miền Tây,HNX,False,False,False,Hàng & Dịch vụ Công nghiệp,Vận tải
VXT,Kho vận và DV Thương mại,UPCOM,False,False,False,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh
VXP,Thuốc Thú y Trung ương VETVACO,UPCOM,False,False,False,Hóa chất,Hóa chất
VXB,VLXD Bến Tre,UPCOM,False,False,False,Xây dựng và Vật liệu,Xây dựng và Vật liệu
VWS,Nước và Môi trường VN,UPCOM,False,False,False,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt
VW3,VIWASEEN.3,UPCOM,False,False,False,Xây dựng và Vật liệu,Xây dựng và Vật liệu
VVS,Đầu tư Phát triển Máy Việt Nam,HSX,False,False,False,Ô tô và phụ tùng,Ô tô và phụ tùng
VVN,XD Công nghiệp Việt Nam,UPCOM,False,False,False,Xây dựng và Vật liệu,Xây dựng và Vật liệu
VUA,Chứng khoán Stanley Brothers,UPCOM,False,False,False,Dịch vụ tài chính,Dịch vụ tài chính
VTZ,Nhựa Việt Thành,HNX,False,False,False,Hóa chất,Hóa chất
VTX,Vận tải Đa phương thức,UPCOM,False,False,False,Hàng & Dịch vụ Công nghiệp,Vận tải
VTV,Năng lượng và Môi trường VICEM,HNX,False,False,False,Xây dựng và Vật liệu,Xây dựng và Vật liệu
VTS,Gạch Ngói Từ Sơn,UPCOM,False,False,False,Xây dựng và Vật liệu,Xây dựng và Vật liệu
VTR,Du lịch Vietravel,UPCOM,False,False,False,Du lịch và Giải trí,Du lịch & Giải trí
VTQ,Việt Trung Quảng Bình,UPCOM,False,False,False,Hóa chất,Hóa chất
VTP,Bưu chính Viettel,HSX,False,True,False,Hàng & Dịch vụ Công nghiệp,Vận tải
VTO,VITACO,HSX,False,False,False,Hàng & Dịch vụ Công nghiệp,Vận tải
VTM,Đưa đón thợ mỏ - Vinacomin,UPCOM,False,False,False,Du lịch và Giải trí,Du lịch & Giải trí
VTL,Vang Thăng Long,DELISTED,False,False,False,,
VTK,Tư vấn thiết kế Viettel,UPCOM,False,False,False,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh
VTJ,TM và Đầu tư VINATABA,HNX,False,False,False,Hàng cá nhân & Gia dụng,Thuốc lá
VTI,Sản xuất - XNK Dệt may,UPCOM,False,False,False,Hàng cá nhân & Gia dụng,Hàng cá nhân
VTH,Dây cáp điện Việt Thái,HNX,False,False,False,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện
VTG,Du lịch tỉnh BR-VT,UPCOM,False,False,False,Du lịch và Giải trí,Du lịch & Giải trí
VTE,VINACAP Kim Long,UPCOM,False,False,False,Công nghệ Thông tin,Thiết bị và Phần cứng
VTD,Du lịch Vietourist,UPCOM,False,False,False,Du lịch và Giải trí,Du lịch & Giải trí
VTC,Viễn thông VTC,HNX,False,False,False,Công nghệ Thông tin,Thiết bị và Phần cứng
VTB,Viettronics Tân Bình,HSX,False,False,False,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện
VTA,Gạch men VITALY,UPCOM,False,False,False,Xây dựng và Vật liệu,Xây dựng và Vật liệu
VST,Vận tải và Thuê Tàu biển Việt Nam,UPCOM,False,False,False,Hàng & Dịch vụ Công nghiệp,Vận tải
VSP,ShinPetrol,DELISTED,False,False,False,,
VSN,VN Kỹ Nghệ Súc Sản (VISSAN),UPCOM,False,False,False,Thực phẩm và đồ uống,Sản xuất thực phẩm
VSM,Container Miền Trung,HNX,False,False,False,Hàng & Dịch vụ Công nghiệp,Vận tải
VSI,Đầu tư và Xây dựng Cấp thoát nước,HSX,False,False,False,Xây dựng và Vật liệu,Xây dựng và Vật liệu
VSH,Thủy điện Vĩnh Sơn - Sông Hinh,HSX,False,False,False,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện
VSG,Container Phía Nam,UPCOM,False,False,False,Hàng & Dịch vụ Công nghiệp,Vận tải
VSF,Vinafood 2,UPCOM,False,False,False,Thực phẩm và đồ uống,Sản xuất thực phẩm
VSE,DV Đường cao tốc Việt Nam,UPCOM,False,False,False,Hàng & Dịch vụ Công nghiệp,Vận tải
VSC,VICONSHIP,HSX,False,True,False,Hàng & Dịch vụ Công nghiệp,Vận tải
VSA,Đại lý Hàng hải VN,HNX,False,False,False,Hàng & Dịch vụ Công nghiệp,Vận tải
VRG,PT Đô thị và KCN Cao su VN,UPCOM,False,False,False,Bất động sản,Bất động sản
VRE,Vincom Retail,HSX,True,True,False,Bất động sản,Bất động sản
VRC,Bất động sản và Đầu tư VRC,HSX,False,False,False,Bất động sản,Bất động sản
VQC,Giám định Vinaconmin,UPCOM,False,False,False,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh
VPX,Chứng khoán VPBank,HSX,False,False,False,Dịch vụ tài chính,Dịch vụ tài chính
VPW,Cấp thoát nước số 1 Vĩnh Phúc,UPCOM,False,False,False,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt
VPS,Thuốc sát trùng Việt Nam,HSX,False,False,False,Hóa chất,Hóa chất
VPR,VINAPRINT,UPCOM,False,False,False,Truyền thông,Truyền thông
VPL,Vinpearl ,HSX,False,False,False,Du lịch và Giải trí,Du lịch & Giải trí
VPI,Đầu tư Văn Phú - Invest,HSX,False,True,False,Bất động sản,Bất động sản
VPH,Vạn Phát Hưng,HSX,False,False,False,Bất động sản,Bất động sản
VPG,Đầu tư TMại XNK Việt Phát,HSX,False,False,False,Tài nguyên Cơ bản,Khai khoáng
VPD,Phát triển Điện lực Việt Nam,HSX,False,False,False,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện
VPC,V- Power,UPCOM,False,False,False,Xây dựng và Vật liệu,Xây dựng và Vật liệu
VPB,VPBank,HSX,True,True,False,Ngân hàng,Ngân hàng
VPA,Vận tải Hóa dầu VP,UPCOM,False,False,False,Hàng & Dịch vụ Công nghiệp,Vận tải
VOS,Vận tải Biển Việt Nam,HSX,False,False,False,Hàng & Dịch vụ Công nghiệp,Vận tải
VOC,Dầu thực vật Việt Nam,UPCOM,False,False,False,Thực phẩm và đồ uống,Sản xuất thực phẩm
VNZ,Tập đoàn VNG,UPCOM,False,False,False,Truyền thông,Truyền thông
VNY,Thuốc thú y Trung ương I,UPCOM,False,False,False,Hóa chất,Hóa chất
VNX,QC và Hội chợ Thương mại,UPCOM,False,False,False,Truyền thông,Truyền thông
VNT,Vận tải ngoại thương,HNX,False,False,False,Hàng & Dịch vụ Công nghiệp,Vận tải
VNS,Ánh Dương Việt Nam,HSX,False,False,False,Du lịch và Giải trí,Du lịch & Giải trí
VNR,Tái bảo hiểm Quốc gia,HNX,False,False,False,Bảo hiểm,Bảo hiểm phi nhân thọ
VNP,Nhựa Việt Nam,UPCOM,False,False,False,Hóa chất,Hóa chất
VNM,VINAMILK,HSX,True,True,False,Thực phẩm và đồ uống,Sản xuất thực phẩm
VNL,Vinalink Logistics,HSX,False,False,False,Hàng & Dịch vụ Công nghiệp,Vận tải
VNI,ĐT BĐS Việt Nam,UPCOM,False,False,False,Bất động sản,Bất động sản
VNH,Đầu tư Việt Việt Nhật,UPCOM,False,False,False,Thực phẩm và đồ uống,Sản xuất thực phẩm
VNG,DL Thành Thành Công,HSX,False,False,False,Du lịch và Giải trí,Du lịch & Giải trí
VNF,VINAFREIGHT,HNX,False,False,False,Hàng & Dịch vụ Công nghiệp,Vận tải
VNE,Xây dựng điện Việt Nam,HSX,False,False,False,Xây dựng và Vật liệu,Xây dựng và Vật liệu
VND,Chứng khoán VNDIRECT,HSX,False,True,False,Dịch vụ tài chính,Dịch vụ tài chính
VNC,VINACONTROL,HNX,False,False,False,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh
VNB,Sách Việt Nam,UPCOM,False,False,False,Truyền thông,Truyền thông
VNA,Vận tải biển Vinaship,UPCOM,False,False,False,Hàng & Dịch vụ Công nghiệp,Vận tải
VMT,Giao nhận Vận tải Miền Trung,UPCOM,False,False,False,Hàng & Dịch vụ Công nghiệp,Vận tải
VMS,Phát triển Hàng Hải,HNX,False,False,False,Hàng & Dịch vụ Công nghiệp,Vận tải
VMK,Vimarko,UPCOM,False,False,False,Xây dựng và Vật liệu,Xây dựng và Vật liệu
VMI,KS và Đầu tư VISACO,DELISTED,False,False,False,,
VMG,Vimexco Gas,UPCOM,False,False,False,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt
VMD,Y Dược phẩm Vimedimex,HSX,False,False,False,Y tế,Dược phẩm
VMC,VIMECO,HNX,False,False,False,Xây dựng và Vật liệu,Xây dựng và Vật liệu
VMA,CN Ô tô - Vinacomin,UPCOM,False,False,False,Ô tô và phụ tùng,Ô tô và phụ tùng
VLW,Cấp nước Vĩnh Long,UPCOM,False,False,False,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt
VLS,Sản xuất Thép Việt Long,UPCOM,False,False,False,Tài nguyên Cơ bản,Kim loại
VLP,Công trình Công cộng Vĩnh Long,UPCOM,False,False,False,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh
VLG,VIMC Logistics,UPCOM,False,False,False,Hàng & Dịch vụ Công nghiệp,Vận tải
VLF,Lương thực Vĩnh Long,UPCOM,False,False,False,Thực phẩm và đồ uống,Sản xuất thực phẩm
VLC,Chăn nuôi Việt Nam,UPCOM,False,False,False,Thực phẩm và đồ uống,Sản xuất thực phẩm
